Code point,Rank 1,Rank 2,Unicode name,C47 usage,Glyph,Glyph,Replacement code point,Replacement,,Comments
U+0020,1,1,SPACE,Space, , ,U+0020, ,,This table must be sorted in the order of the ‘Code Point’ column.
U+0021,536,536,EXCLAMATION MARK,Exclamation mark,!,!,U+0021,!,,Each code point in column ‘Code Point’ must be unique.
U+0022,550,550,QUOTATION MARK,Quotation mark,"""","""",U+0022,"""",,
U+0023,654,654,NUMBER SIGN,Number sign,#,#,U+0023,#,,"Only the first 3 columns A, B, C and also H are important for"
U+0024,614,615,DOLLAR SIGN,Dollar,$,$,U+0025,%,,generating the CSV file and should not be changed.
U+0025,614,614,PERCENT SIGN,Percent,%,%,U+0025,%,,The other columns are only informational.
U+0026,594,594,AMPERSAND,Ampersand,&,&,U+0026,&,,
U+0027,544,544,APOSTROPHE,Apostrophe,',',U+0027,',,Column ‘Replacement code point’ determines the group to which the
U+0028,494,494,LEFT PARENTHESIS,Left parenthesis,(,(,U+0028,(,,glyph belongs. You can get a better idea of this by sorting the
U+0029,494,495,RIGHT PARENTHESIS,Right parenthesis,),),U+0028,(,,table in the order of ‘Rank 1’.
U+002a,519,523,ASTERISK,Asterisk,*,*,U+00d7,×,,
U+002b,510,510,PLUS SIGN,Plus,+,+,U+002b,+,,"To change the sorting order, add or remove a code point:"
U+002c,528,528,COMMA,Comma,",",",",U+002c,",",, - sort the table in the order of the ‘Rank 2’ column
U+002d,514,514,HYPHEN-MINUS,Minus,-,-,U+002d,-,," - change the order, insert or delete the glyph(s)"
U+002e,531,531,FULL STOP,Full stop,.,.,U+002e,.,, - renumber the ‘Rank 2’ column from 1 to n
U+002f,525,525,SOLIDUS,Slash,/,/,U+002f,/,, - sort the table in the order of the ‘Point code’ column
U+0030,11,11,DIGIT ZERO,Digit 0,0,0,U+0030,0,,
U+0031,18,18,DIGIT ONE,Digit 1,1,1,U+0031,1,,"When adding a glyph, it’s mandatory to:"
U+0032,25,25,DIGIT TWO,Digit 2,2,2,U+0032,2,,"duplicate the (yellow) formula in column B: ‘Rank 1’, and "
U+0033,29,29,DIGIT THREE,Digit 3,3,3,U+0033,3,,also do the (yellow) formulae in F-G: ‘Glyph’ and I: ‘Replacement’.
U+0034,34,34,DIGIT FOUR,Digit 4,4,4,U+0034,4,,
U+0035,38,38,DIGIT FIVE,Digit 5,5,5,U+0035,5,,Do not change the sheet name (sortingOrder)
U+0036,42,42,DIGIT SIX,Digit 6,6,6,U+0036,6,,
U+0037,46,46,DIGIT SEVEN,Digit 7,7,7,U+0037,7,,
U+0038,50,50,DIGIT EIGHT,Digit 8,8,8,U+0038,8,,
U+0039,54,54,DIGIT NINE,Digit 9,9,9,U+0039,9,,
U+003a,540,540,COLON,Colon,:,:,U+003a,:,,
U+003b,543,543,SEMICOLON,Semicolon,;,;,U+003b,;,,
U+003c,600,601,LESS-THAN SIGN,Less than,<,<,U+226a,≪,,
U+003d,600,605,EQUALS SIGN,Equal,=,=,U+226a,≪,,
U+003e,600,612,GREATER-THAN SIGN,Greater than,>,>,U+226a,≪,,
U+003f,538,538,QUESTION MARK,Question mark,?,?,U+003f,?,,
U+0040,557,557,COMMERCIAL AT,At,@,@,U+0040,@,,
U+0041,66,66,LATIN CAPITAL LETTER A,A,A,A,U+0041,A,,
U+0042,92,92,LATIN CAPITAL LETTER B,B,B,B,U+0042,B,,
U+0043,98,98,LATIN CAPITAL LETTER C,C,C,C,U+0043,C,,
U+0044,113,113,LATIN CAPITAL LETTER D,D,D,D,U+0044,D,,
U+0045,126,126,LATIN CAPITAL LETTER E,E,E,E,U+0045,E,,
U+0046,152,152,LATIN CAPITAL LETTER F,F,F,F,U+0046,F,,
